,author_name
0,"(Pengcheng, Xiang)"
1,"(Jin, Zhou)"
2,"(Xiaoyu, Zhou)"
3,"(Kunhui, Ye)"
4,"(Alfred, Kobsa)"
5,"(Sameer, Patil)"
6,"(Bertolt, Meyer)"
7,"(Jan, Österlund)"
8,"(Eva, Lovén)"
9,"(Yue, Li)"
10,"(Charlene, Harrington)"
11,"(Helena, Temkin-Greener)"
12,"(Kai, You)"
13,"(Xueya, Cai)"
14,"(Xi, Cen)"
15,"(Dana B., Mukamel)"
16,"(Ying, Huang)"
17,"(Santhosh, Kumaran)"
18,"(Jen Yao, Chung)"
19,"(Luisa, Huaccho Huatuco)"
20,"(Janet, Efstathiou)"
21,"(Ani, Calinescu)"
22,"(Suja, Sivadasan)"
23,"(Stella, Kariuki)"
24,"(H. V., Jagadish)"
25,"(Johannes, Gehrke)"
26,"(Alexandros, Labrinidis)"
27,"(Yannis, Papakonstantinou)"
28,"(Jignesh M., Patel)"
29,"(Raghu, Ramakrishnan)"
30,"(Cyrus, Shahabi)"
31,"(Roula, Michaelides)"
32,"(Susan C., Morton)"
33,"(Zenon, Michaelides)"
34,"(Andy C., Lyons)"
35,"(Weisheng, Liu)"
36,"(Nilesh N., Joshi)"
37,"(James H., Lambert)"
38,"(Muhammad, Jaber Hossain)"
39,"(C., Forza)"
40,"(F., Salvador)"
41,"(Congjun, Rao)"
42,"(Yong, Zhao)"
43,"(Yang, Chen)"
44,"(Wen Jin, Lin)"
45,"(Zhi Bin, Jiang)"
46,"(Lei, Wang)"
47,"(Suleiman H., Mustafa)"
48,"(Stephen J., Deery)"
49,"(Roderick D., Iverson)"
50,"(Donna M., Buttigieg)"
51,"(Christopher D., Zatzick)"
52,"(Huaxia, Rui)"
53,"(Guoming, Lai)"
54,"(Kingsley, Gnanendran)"
55,"(Kathleen, Iacocca)"
56,"(Sara R., Wilson)"
57,"(Robert D., Leonard)"
58,"(David J., Edwards)"
59,"(Kurt A., Swieringa)"
60,"(Jennifer L., Murdoch)"
61,"(Eileen Newman, Rubin)"
62,"(Zhigang, Cao)"
63,"(Jonas, Schreyögg)"
64,"(Tom, Stargardt)"
65,"(Oliver, Tiemann)"
66,"(Reinhard, Busse)"
67,"(Murat, Köksalan)"
68,"(Selcen, Phelps)"
69,"(Andrzej, Ruszczyński)"
70,"(Paul, Manuel)"
