,doi,id,title,type,year,authors,source,pages,volume,reader_count
0,10.1061/(ASCE)CO.1943-7862.0000548,65ceb853-625c-3b7f-ba78-b6a04bebd356,Construction Project Risk Management Based on the View of Asymmetric Information,journal,2012.0,"(Pengcheng, Xiang)",Journal of Construction Engineering and Management,1303-1311,138,30
1,10.1080/01449291003611326,cdbba45f-014a-3774-afa5-ce085f14f276,Privacy in instant messaging: An impression management model,journal,2012.0,"(Alfred, Kobsa)",Behaviour and Information Technology,355-370,31,3
2,10.1002/sres.667,751b4039-a5e8-350b-85be-9676813c2d80,Information versus Inertia: A model for product change with low inertia,journal,2005.0,"(Jan, Österlund)",Systems Research and Behavioral Science,547-560,22,9
3,10.1377/hlthaff.2015.0094,3807a6c0-13cc-3d7e-856c-cf3b7700f971,"Deficiencies in care at nursing homes and racial/ethnic disparities across homes fell, 2006-11",journal,2015.0,"(Yue, Li)",Health Affairs,1139-1146,34,27
4,10.1007/s10257-005-0056-8,aacb3fdf-8dd9-33ff-872a-5bb80c69f265,A model-driven framework for enterprise service management,journal,2005.0,"(Ying, Huang)",Information Systems and e-Business Management,201-217,3,6
5,10.1080/00207540701871036,3b856273-5ce7-3b18-acf5-42cda863a33c,Comparing the impact of different rescheduling strategies on the entropic-related complexity of manufacturing systems,journal,2009.0,"(Luisa, Huaccho Huatuco)",International Journal of Production Research,4305-4325,47,34
6,10.1145/2611567,d5a4aff2-a3da-3042-88f9-a21214edc461,Big data and its technical challenges,journal,2014.0,"(H. V., Jagadish)",Communications of the ACM,86-94,57,255
7,10.1080/00207543.2012.701778,0b547d4f-121f-3715-93bc-2fcc4f7b89a9,Collaboration networks and collaboration tools: A match for SMEs?,journal,2013.0,"(Roula, Michaelides)",International Journal of Production Research,2034-2048,51,68
8,10.1080/13669877.2011.553733,3a6d95a5-4d9b-3532-beaf-8ace0d409fc4,Diversification of infrastructure projects for emergent and unknown non-systematic risks,journal,2011.0,"(Nilesh N., Joshi)",Journal of Risk Research,717-733,14,11
9,10.1080/01930826.2013.853487,f6cb5124-c138-3ea5-8231-29ed647165db,Designing User-Focused Marketing Culture in Academic Libraries: A Conceptual Outline,journal,2013.0,"(Muhammad, Jaber Hossain)",Journal of Library Administration,122-146,53,25
10,10.1080/00207540600818278,11c04682-306c-351e-a2ec-5536835b2366,Application support to product variety management,journal,2008.0,"(C., Forza)",International Journal of Production Research,817-836,46,48
11,10.3846/20294913.2013.876457,a2c782fe-8c53-3c61-b5dd-a26f22339b4e,Uniform price auction of divisible goods based on multiple rounds linear bidding and its equilibrium analysis,journal,2015.0,"(Congjun, Rao)",Technological and Economic Development of Economy,96-117,21,2
12,10.1080/00207543.2014.891060,b64ece4c-669e-3bc9-9998-7ec8ada41ed2,Modelling and analysis of the bullwhip effect with customers baulking behaviours and production capacity constraint,journal,2014.0,"(Wen Jin, Lin)",International Journal of Production Research,4835-4852,52,27
13,10.1002/asi.20244,f8c22df4-8f1f-37cb-b048-25a0d5820d46,Word-oriented approximate string matching using occurrence heuristic tables: A heuristic for searching Arabic text,journal,2005.0,"(Suleiman H., Mustafa)",Journal of the American Society for Information Science and Technology,1504-1511,56,5
14,10.1002/hrm.21549,39736fb4-ee85-3a81-9cf0-c6a36e7b5fba,Can Union Voice Make a Difference? The Effect of Union Citizenship Behavior on Employee Absence,journal,2014.0,"(Stephen J., Deery)",Human Resource Management,211-228,53,26
15,10.1111/poms.12313,96f3ee4e-c9ff-3bf3-980e-d03fc15fef05,Sourcing with deferred payment and inspection under supplier product adulteration risk,journal,2015.0,"(Huaxia, Rui)",Production and Operations Management,934-946,24,15
16,10.1080/00207543.2015.1055845,094f2241-7f89-34e9-9c75-49b1edd6dd3a,The point of purchase decision in a supply chain with value-added reselling,journal,2015.0,"(Kingsley, Gnanendran)",International Journal of Production Research,6689-6700,53,10
17,10.1080/08982112.2015.1023313,d9332a29-faf8-3b31-ae56-df0fdb40f92f,Model Specification and Confidence Intervals for Voice Communication,journal,2015.0,"(Sara R., Wilson)",Quality Engineering,402-415,27,4
18,10.1002/joe.21493,7b8d5dc4-df16-33e8-873f-95a8548aa855,Know-How in the Bank: Instituting a Lessons Learned System to Capitalize on Intellectual Assets,journal,2013.0,"(Eileen Newman, Rubin)",Global Business and Organizational Excellence,36-48,32,6
19,10.1007/s00355-012-0686-y,6811cb2c-fab6-37d8-aab3-f17c110dcae4,Bargaining and cooperation in strategic form games with suspended realizations of threats,journal,2013.0,"(Zhigang, Cao)",Social Choice and Welfare,337-358,41,1
20,10.1007/s10729-006-9040-1,629d2dc5-389f-37e2-bc2d-f7c61ce714b4,Methods to determine reimbursement rates for diagnosis related groups (DRG): A comparison of nine European countries,journal,2006.0,"(Jonas, Schreyögg)",Health Care Management Science,215-223,9,76
21,10.1287/ijoc.1050.0170,f3841361-676b-3ea9-9f5a-a9e5272ab0e1,An evolutionary metaheuristic for approximating preference-nondominated solutions,journal,2007.0,"(Murat, Köksalan)",INFORMS Journal on Computing,291-301,19,14
22,10.1007/s10107-010-0393-3,91705957-1dad-3734-957d-3a165716a8b8,Risk-averse dynamic programming for Markov decision processes,conference_proceedings,2010.0,"(Andrzej, Ruszczyński)",Mathematical Programming,235-261,125,58
23,10.1007/s10479-013-1380-x,d9208606-2634-3ba0-8838-a9aef9afba4e,A trust model of cloud computing based on Quality of Service,journal,2015.0,"(Paul, Manuel)",Annals of Operations Research,281-292,233,57
24,10.1061/(ASCE)CO.1943-7862.0000741,2306fe91-7960-3032-8d54-4baf4cff5fa6,Document Management in Construction: Practices and Opinions,journal,2013.0,"(Mohammed, Al Qady)",Journal of Construction Engineering and Management,06013002,139,41
25,10.1007/s10257-012-0193-9,3cd6bfa1-3737-3841-a88a-13cc5d7cd86a,"Impacts of employee participation and trust on e-business readiness, benefits, and satisfaction",journal,2013.0,"(Jung Yu, Lai)",Information Systems and e-Business Management,265-285,11,34
26,10.1002/hrm.20434,adc8fbfd-f714-3a69-a326-b9a1c1fec323,Employees' attitudes toward organizational change: A literature review,journal,2011.0,"(Myungweon, Choi)",Human Resource Management,479-500,50,222
27,10.1080/00207543.2012.755273,01271456-ba53-3db5-8628-53edfb655d18,Characteristics affecting management of design information in the production system design process,journal,2013.0,"(Jessica, Bruch)",International Journal of Production Research,3241-3251,51,29
28,10.1080/13678860500149951,973b3f4f-4f18-35e6-8719-b48d51311d18,Linking intellectual capital and competitive advantage: A cross-firm competence model for north-east italian smes in the manufacturing industry,generic,2005.0,"(Arnaldo, Camuffo)",Human Resource Development International,361-377,8,33
29,10.1080/10580530902797532,8149873a-2bd6-399b-b1d9-6777b512e5cb,Confusion in the ranks: IT service management practice and terminology,journal,2009.0,"(Mary Anne, Winniford)",Information Systems Management,153-163,26,152
30,10.1145/1978802.1978803,012a1db6-22c2-3f45-bbdc-09703f0d74b0,Factors that affect software systems development project outcomes,journal,2011.0,"(Laurie, McLeod)",ACM Computing Surveys,1-56,43,192
31,10.1007/s10257-006-0040-y,9b96ec26-4bb2-3b23-b3ea-c9cafc4bbc68,Innovative order types as success factors in stock exchange competition,journal,2007.0,"(Matthias, Kunzelmann)",Information Systems and e-Business Management,167-184,5,1
32,10.2308/isys-10254,22a3de83-0742-3970-a437-05784a826a4c,Acceptance of E-Prescriptions and Automated Medication-Management Systems in Hospitals: An Extension of the Technology Acceptance Model,journal,2012.0,"(Tomás, Escobar-Rodríguez)",Journal of Information Systems,77-96,26,39
33,10.1111/j.1748-8583.2009.00119.x,5a3dfe52-7f44-3f31-b61a-bf9a099c74ba,Retraction,journal,2011.0,"(Olivier, Herrbach)",Human Resource Management Journal,444-444,21,1
34,10.1080/17517570802072951,3f9390cd-3085-3a8a-a360-6b525bb9c9af,Resource workflow nets: An approach to workflow modelling and analysis,journal,2008.0,"(Oana Otilia, Prisecaru)",Enterprise Information Systems,101-124,2,10
35,10.1080/00076791.2013.790369,06fadab8-0718-39a2-ab17-fab1b85da9ee,Revisiting the fit-performance thesis half a century later: A historical financial analysis of Chandler's own matched and mismatched firms,journal,2014.0,"(Kenneth E., Aupperle)",Business History,341-371,56,15
