,doi
0,10.1061/(ASCE)CO.1943-7862.0000548
1,10.1145/1081992.1082013
2,10.1080/01449291003611326
3,10.1002/sres.667
4,10.1377/hlthaff.2015.0094
5,10.1007/s10257-005-0056-8
6,10.1080/00207540701871036
7,10.1145/2611567
8,10.1080/00207543.2012.701778
9,10.1080/13669877.2011.553733
10,10.1080/01930826.2013.853487
11,10.1057/palgrave.fsm.4760081
12,10.1080/00207540600818278
13,10.3846/20294913.2013.876457
14,10.1080/00207543.2014.891060
15,10.1002/asi.20244
16,10.1002/hrm.21549
17,10.1111/poms.12313
18,10.1080/00207543.2015.1055845
19,10.1080/08982112.2015.1023313
20,10.1002/joe.21493
21,10.1007/s00355-012-0686-y
22,10.1007/s10729-006-9040-1
23,10.1287/ijoc.1050.0170
24,10.1007/s10107-010-0393-3
25,10.1007/s10479-013-1380-x
26,10.1061/(ASCE)CO.1943-7862.0000741
27,10.1007/s10257-012-0193-9
28,10.1002/hrm.20434
29,10.1080/00207543.2012.755273
30,10.1080/13678860500149951
31,10.1080/10580530902797532
32,10.1145/1978802.1978803
33,10.1007/s10257-006-0040-y
34,10.2308/isys-10254
35,10.1111/j.1748-8583.2009.00119.x
36,10.3233/IFS-141207
37,10.1080/17517570802072951
38,10.1080/00076791.2013.790369
39,10.1080/13698570802533002
40,10.1145/1467247.1467279
41,10.1007/s00291-013-0342-7
42,10.1007/s10018-010-0167-4
43,10.1007/s10257-007-0068-7
44,10.1111/j.1540-6210.2007.00827.x
45,10.1080/10580530.2011.562401
46,10.1080/08839514.2012.629522
47,10.1080/13504850701578835
48,10.1080/0144929X.2011.586725
49,10.1080/09511920701566467
50,10.1080/09511920903207464
51,10.1111/j.1541-0072.2010.00378.x
52,10.1007/s10207-014-0270-9
53,10.1007/s10729-009-9120-0
54,10.1111/j.1365-2575.2008.00324.x
55,10.1137/S0097539704446268
56,10.1002/pad.437
57,10.1080/00207543.2010.543173
58,10.1049/iet-com:20060649
59,10.1061/(ASCE)CO.1943-7862.0000344
60,10.1061/(ASCE)EE.1943-7870.0000314
61,10.1080/17517575.2013.792397
62,10.1049/iet-gtd:20070309
63,10.1111/j.1539-6924.2008.01153.x
64,10.1145/1107458.1107493
65,10.1111/1468-5973.12033
66,10.1080/09613218.2015.961002
67,10.1080/07408170701775086
68,10.2753/MIS0742-1222270202
69,10.1080/09669582.2015.1062016
70,10.1049/cce:20060201
71,10.3109/03639045.2011.641563
72,10.1007/s11067-007-9027-6
73,10.1007/s10257-014-0267-y
74,10.1080/10580530.2011.610275
75,10.1080/00207543.2012.709650
76,10.1111/j.1937-5956.2009.01012.x
77,10.1287/isre.2015.0603
78,10.1080/00207540412331285832
79,10.1111/j.1540-4609.2012.00363.x
80,10.1002/nav.21558
81,10.1080/03643107.2011.599305
82,10.1080/09613218.2012.690956
83,10.1111/j.0824-7935.2005.00268.x
84,10.1111/caim.12017
85,10.3233/IFS-131019
86,10.1145/2543581.2543592
87,10.1002/jsc.2021
88,10.1179/2047971913Y.0000000035
89,10.1057/rpm.2008.14
90,10.1080/10580530903455247
91,10.1145/1064830.1064834
92,10.1061/(ASCE)CO.1943-7862.0000240
93,10.1080/00207543.2010.548409
94,10.1080/17517575.2010.493956
95,10.5465/AMP.2008.32739761
96,10.1007/s10257-008-0090-4
97,10.5755/j01.ee.24.3.2787
98,10.1377/hlthaff.2015.0127
99,10.1007/s10845-012-0634-9
100,10.1080/17517570601088364
101,10.1080/00207540802555736
102,10.1111/j.1540-5885.2011.00789.x
103,10.1111/j.1468-0394.2008.00443.x
104,10.3233/JCS-130490
105,10.3233/IP-2009-0165
106,10.1061/(ASCE)CO.1943-7862.0000775
107,10.1007/s11517-010-0712-0
108,10.1300/J179v06n03_02
109,10.1111/j.1365-2575.2007.00284.x
110,10.1080/09585190902983330
111,10.1017/S0022109011000433
112,10.1111/j.1467-8608.2009.01560.x
113,10.1007/s11142-011-9142-y
114,10.1287/isre.2013.0485
115,10.1002/itdj.20032
116,10.1002/asi.21419
117,10.1080/17517570802337362
118,10.1177/0092070305283686
119,10.1145/1883612.1883619
120,10.1080/00207540412331299594
121,10.1080/00207540802582227
122,10.1080/10580530.2012.634304
123,10.1007/s10479-005-6233-9
124,10.1093/imaman/dpm018
125,10.1287/ijoc.1120.0504
126,10.1080/00207541003801267
127,10.1287/orsc.1050.0116
128,10.1007/s00224-007-9045-2
129,10.1377/hlthaff.2013.1159
130,10.2105/AJPH.2012.301086
131,10.1377/hlthaff.2012.0197
132,10.1080/09640568.2010.490052
133,10.1080/0144929X.2014.914976
134,10.1145/1924421.1924431
135,10.1111/j.1468-0394.2006.00412.x
136,10.1080/0144929X.2015.1108590
137,10.5755/j01.em.19.3.8125
138,10.1080/07421222.2014.1001282
139,10.1145/2522968.2522971
140,10.1007/s10660-008-9022-0
141,10.1287/mnsc.2014.1930
142,10.1080/10580531003684744
143,10.1080/00343400801922814
144,10.1287/isre.2015.0583
145,10.1287/ijoc.1090.0353
146,10.1145/1125944.1125978
147,10.1080/15332860802067706
148,10.1007/s11187-006-9037-7
149,10.1007/s10479-011-1016-y
150,10.1007/s10207-010-0116-z
151,10.1145/1953122.1953142
152,10.1287/isre.1050.0058
153,10.1080/0020754042000270368
154,10.1145/1400181.1400198
155,10.1007/s10100-014-0355-6
156,10.1080/17517575.2012.763189
157,10.5034/inquiryjrnl_49.01.04
158,10.1080/00207540600634949
159,10.1145/1107458.1107497
160,10.3233/IDA20100475
161,10.1145/2018396.2018419
162,10.1007/s10257-013-0220-5
163,10.1287/ijoc.1040.0094
164,10.1002/jcaf.21783
165,10.1377/HLTHAFF.2010.1034
166,10.1007/s10257-005-0024-3
167,10.1080/09613218.2011.617095
168,10.1080/17517575.2010.519785
169,10.1080/0144929X.2013.789080
170,10.1002/sres.818
171,10.3233/GOV-130356
172,10.1007/s10207-013-0197-6
173,10.1377/hlthaff.2015.0252
174,10.1089/cyber.2012.0301
175,10.1016/j.serrev.2011.01.002
176,10.1080/13662716.2015.1049865
177,10.1287/isre.1050.0055
178,10.15728/bbr.2015.12.6.5
179,10.1287/msom.1070.0174
180,10.3722/cadaps.2011.531-544
181,10.1080/10580530802552102
182,10.1287/trsc.1110.0378
183,10.1002/sres.2294
184,10.1300/J179v06n01_05
185,10.1007/s10551-010-0686-8
186,10.2105/AJPH.2011.300460
187,10.1377/hlthaff.2010.1295
188,10.2979/eservicej.7.2.2
189,10.1049/ip-com:20060003
190,10.1017/S002210901200049X
191,10.1111/j.1468-5957.2006.00596.x
192,10.1007/s10551-007-9522-1
193,10.1080/00207543.2011.639396
194,10.1002/asi.21126
195,10.1080/0144929X.2012.681067
196,10.1007/s10479-007-0168-2
197,10.1093/imaman/dpn002
198,10.1002/asi.20505
199,10.1177/0972262914540227
200,10.1111/j.1540-5915.2010.00268.x
201,10.1080/01972240903562712
202,10.1002/dir.20065
203,10.1080/10580530601038097
204,10.1111/1460-6984.12171
205,10.3934/jimo.2014.10.1
206,10.5465/AMJ.2007.27155539
207,10.1007/s10257-012-0210-z
208,10.3233/IFS-151584
209,10.1080/14719037.2011.589614
210,10.3934/jimo.2015.11.1343
211,10.1080/00346760500047909
212,10.1287/isre.1070.0143
213,10.1080/00207540802047106
214,10.1080/07421222.2014.1001262
215,10.1300/J111v44n03_13
216,10.1111/jcom.12069
217,10.1111/j.1365-2575.2010.00368.x
218,10.1080/00036846.2010.498357
219,10.3233/JHS-130477
220,10.1145/1400181.1400208
221,10.1007/s10869-006-9023-8
222,10.1002/tqem.21319
223,10.1080/0951192X.2014.941938
224,10.1111/j.1365-2575.2009.00332.x
225,10.1002/asi.20543
226,10.1080/00207721.2013.827261
227,10.1002/asi.23072
228,10.3991/ijac.v2i1.265
229,10.1080/01972240903212466
230,10.2308/isys-10252
231,10.1057/jdg.2009.17
232,10.1287/isre.2015.0577
233,10.3233/IFS-131006
234,10.1049/ip-com:20050138
235,10.1007/s10845-013-0757-7
236,10.1080/13698575.2015.1136409
237,10.1002/pfi.20198
238,10.1007/s10479-008-0352-z
239,10.1509/jppm.27.1.19
240,10.1007/s11149-012-9196-1
241,10.1080/14783360701601850
242,10.1145/1866739.1866751
243,10.1007/s10257-008-0089-x
244,10.1145/1536616.1536644
245,10.1080/00207540600622480
246,10.1080/10580530.2010.493825
247,10.1080/01446190701821802
248,10.1377/hlthaff.2011.1317
249,10.1080/10580530802552169
250,10.1080/00207543.2014.886822
251,10.1007/s10257-003-0024-0
252,10.1111/j.1467-8462.2008.00514.x
253,10.3233/IFS-131081
254,10.7819/rbgn.v15i48.1401
255,10.6017/ital.v34i2.5629
256,10.1007/s10766-010-0157-y
257,10.3934/jimo.2015.11.829
258,10.3233/IFS-141436
259,10.1080/00207541003794884
260,10.5034/inquiryjrnl_49.01.06
261,10.1080/10580531003708378
262,10.1111/1753-6405.12150
263,10.1002/pad.354
264,10.1002/eet.398
265,10.3233/AIC-2009-0453
266,10.1080/00207543.2013.878057
267,10.1080/00207540903348353
268,10.1080/10580530801941439
269,10.1111/j.1753-6405.2008.00230.x
270,10.1080/01972240802356125
271,10.1111/j.1467-9310.2007.00493.x
272,10.1080/01972243.2012.651058
273,10.1002/sres.685
274,10.1111/j.1467-9671.2005.00231.x
275,10.1155/JAMDS/2006/27417
276,10.1007/s11166-009-9060-6
277,10.1080/0740817X.2010.541177
278,10.1287/ijoc.2014.0607
279,10.1080/10580530.2015.1018768
280,10.1080/00207543.2012.739733
281,10.1007/s11575-011-0118-8
282,10.1080/14719037.2010.488860
283,10.15611/pn.2015.375.12
284,10.1002/sdr.1526
285,10.1080/10580530.2011.577333
286,10.1111/j.1540-6210.2008.00982.x
287,10.1080/08985620802279973
288,10.2478/manment-2013-0058
289,10.1109/MS.2010.87
290,10.1080/14783360500450640
291,10.1111/j.1467-7660.2011.01697.x
292,10.1007/s10479-009-0662-9
293,10.15308/SInteZa-2014-781-787
294,10.1080/08920750600686687
295,10.1002/asi.21138
296,10.1080/17510694.2015.1050296
297,10.1080/03643107.2011.614531
298,10.1145/1125944.1125948
299,10.1080/10580530.2010.514216
300,10.1080/00207543.2011.555430
301,10.1057/fsm.2010.18
302,10.1137/S009753970444630X
303,10.1080/09511920701810691
304,10.1111/j.1365-2575.2011.00397.x
305,10.1007/s10729-014-9283-1
306,10.1111/j.1365-2575.2007.00281.x
307,10.1002/bse.695
308,10.1002/isaf.264
309,10.1080/10580530801941371
310,10.12948/issn14531305/19.2.2015.06
311,10.1007/s11235-011-9473-9
312,10.1111/j.1530-9290.2010.00273.x
313,10.1111/j.1937-5956.2010.01213.x
314,10.1080/10580530601036802
315,10.1007/s10696-014-9192-0
316,10.1061/(ASCE)0733-9364(2005)131:1(71)
317,10.1080/10580530.2013.773800
318,10.1007/s11235-011-9494-4
319,10.1111/j.1539-6924.2012.01870.x
320,10.1007/s10257-014-0269-9
321,10.1111/1756-2171.12015
322,10.1007/s11257-008-9055-z
323,10.1080/08920753.2014.985178
324,10.1080/00207543.2010.545445
325,10.1057/dbm.2008.9
326,10.3233/IP-140334
327,10.1145/2635675
328,10.1137/S0097539703436722
329,10.1061/(ASCE)0733-9364(2006)132:7(777)
330,10.1007/s10257-011-0176-2
331,10.1111/j.1539-6924.2012.01925.x
332,10.1093/bib/bbm056
333,10.1002/isaf.330
334,10.1145/2693841
335,10.1007/s10766-005-4785-6
336,10.1111/j.1467-940X.2005.00104.x
337,10.1145/1323688.1323696
338,10.1287/opre.1040.0159
339,10.1145/1400214.1400240
340,10.1111/j.1365-2575.2005.00186.x
341,10.1080/09640568.2011.591925
342,10.3233/IFS-141487
343,10.1109/MS.2011.7
344,10.1007/s10257-011-0168-2
345,10.1007/s00291-009-0178-3
346,10.1111/j.1467-629X.2010.00341.x
347,10.2308/accr-50192
348,10.1111/jiec.12126
349,10.2308/isys-51127
350,10.1258/hsmr.2010.010003
351,10.1111/j.1468-0475.2009.00477.x
352,10.1080/00207543.2010.537387
353,10.1111/j.1753-6405.2008.00231.x
354,10.1007/s10551-010-0693-9
355,10.1007/s00291-007-0108-1
356,10.1111/j.1435-5957.2008.00164.x
357,10.1080/10447318.2012.711705
358,10.1002/ecja.20214
359,10.2308/isys-10090
360,10.1080/01446190903361912
361,10.1177/2329488414525459
362,10.1080/10548400802656702
363,10.1061/(ASCE)0733-9364(2005)131:10(1135)
364,10.1080/00207540600774067
365,10.1080/0951192X.2011.574154
366,10.3233/IFS-141134
367,10.1111/j.1540-5982.2011.01695.x
368,10.1080/1360080X.2015.1079395
369,10.1007/s11235-009-9243-0
370,10.1109/TSE.2014.2354043
371,10.1287/mnsc.2014.2084
372,10.1080/09511920412331284753
373,10.1111/j.1540-5915.2011.00347.x
374,10.1386/tmsd.12.2.185_1
375,10.1287/ijoc.2014.0624
376,10.1111/j.1540-5885.2009.00684.x
377,10.1377/hlthaff.2012.0644
378,10.1080/01608061.2011.619418
379,10.1300/J109v10n401
380,10.1111/ijsa.12044
381,10.1207/s15327590ijhc2001_5
382,10.1080/09613218.2013.743398
383,10.1002/kpm.232
384,10.5465/amj.2009.0862
385,10.1080/10447318.2011.565706
386,10.1287/isre.2014.0522
387,10.1007/s10729-007-9036-5
388,10.3233/ISU-130697
389,10.1080/00207540600943993
390,10.1007/s10766-012-0219-4
391,10.1177/0091026015604447
392,10.1111/j.1365-2575.2010.00349.x
393,10.1080/0376835X.2012.730974
394,10.1002/asi.20154
395,10.1137/S0036144503424786
396,10.1287/ijoc.2013.0570
397,10.1080/00207543.2011.570421
398,10.1111/j.1540-4609.2008.00199.x
399,10.1287/isre.1100.0288
400,10.1080/00207540600865386
401,10.1002/asi.20565
402,10.1057/palgrave.dam.3650085
403,10.1177/0972262915599465
404,10.2308/accr.00000040
405,10.3233/IFS-151969
406,10.1111/j.1468-0394.2007.00427.x
