id,scopus,doi,title,type,year,authors,source,pages,volume,reader_count,link,given-name,sur_name,author_id,affiliation_id,citedby_count,h_index,doc_total,cit_by_doc,co_authors_total
65ceb853-625c-3b7f-ba78-b6a04bebd356,2-s2.0-84869446581,10.1061/(ASCE)CO.1943-7862.0000548,Construction Project Risk Management Based on the View of Asymmetric Information,journal,2012,"('Pengcheng', 'Xiang')",Journal of Construction Engineering and Management,1303-1311,138,30,http://www.mendeley.com/research/construction-project-risk-management-based-view-asymmetric-information,Pengcheng,Xiang,36841916200,60023380,22,3,10,36,16
cdbba45f-014a-3774-afa5-ce085f14f276,2-s2.0-77957951836,10.1080/01449291003611326,Privacy in instant messaging: An impression management model,journal,2012,"('Alfred', 'Kobsa')",Behaviour and Information Technology,355-370,31,3,http://www.mendeley.com/research/privacy-instant-messaging-impression-management-model-6,Alfred,Kobsa,6701707333,60007278,15,26,114,2308,150
751b4039-a5e8-350b-85be-9676813c2d80,2-s2.0-29844453911,10.1002/sres.667,Information versus Inertia: A model for product change with low inertia,journal,2005,"('Jan', 'Österlund')",Systems Research and Behavioral Science,547-560,22,9,http://www.mendeley.com/research/information-versus-inertia-model-product-change-low-inertia,Jan,Österlund,6603960566,60009358,3,3,9,30,0
3807a6c0-13cc-3d7e-856c-cf3b7700f971,2-s2.0-84936936316,10.1377/hlthaff.2015.0094,"Deficiencies in care at nursing homes and racial/ethnic disparities across homes fell, 2006-11",journal,2015,"('Yue', 'Li')",Health Affairs,1139-1146,34,27,http://www.mendeley.com/research/deficiencies-care-nursing-homes-racialethnic-disparities-across-homes-fell-200611,Yue,Li,35317939800,60024746,1,20,92,1627,123
aacb3fdf-8dd9-33ff-872a-5bb80c69f265,2-s2.0-21244491518,10.1007/s10257-005-0056-8,A model-driven framework for enterprise service management,journal,2005,"('Ying', 'Huang')",Information Systems and e-Business Management,201-217,3,6,http://www.mendeley.com/research/modeldriven-framework-enterprise-service-management-2,Ying,Huang,55717100700,60017366,4,9,27,411,57
3b856273-5ce7-3b18-acf5-42cda863a33c,2-s2.0-70449579437,10.1080/00207540701871036,Comparing the impact of different rescheduling strategies on the entropic-related complexity of manufacturing systems,journal,2009,"('Luisa', 'Huaccho Huatuco')",International Journal of Production Research,4305-4325,47,34,http://www.mendeley.com/research/comparing-impact-different-rescheduling-strategies-entropicrelated-complexity-manufacturing-systems,Luisa,Huaccho Huatuco,35173123800,60012070,25,8,21,142,24
d5a4aff2-a3da-3042-88f9-a21214edc461,2-s2.0-84901792094,10.1145/2611567,Big data and its technical challenges,journal,2014,"('H. V.', 'Jagadish')",Communications of the ACM,86-94,57,255,http://www.mendeley.com/research/big-data-technical-challenges-4,H. V.,Jagadish,35242128300,60025778,236,51,260,8224,150
0b547d4f-121f-3715-93bc-2fcc4f7b89a9,2-s2.0-84873447608,10.1080/00207543.2012.701778,Collaboration networks and collaboration tools: A match for SMEs?,journal,2013,"('Roula', 'Michaelides')",International Journal of Production Research,2034-2048,51,68,http://www.mendeley.com/research/collaboration-networks-collaboration-tools-match-smes,Roula,Michaelides,14035781300,60020661,21,6,24,129,39
3a6d95a5-4d9b-3532-beaf-8ace0d409fc4,2-s2.0-80051478158,10.1080/13669877.2011.553733,Diversification of infrastructure projects for emergent and unknown non-systematic risks,journal,2011,"('Nilesh N.', 'Joshi')",Journal of Risk Research,717-733,14,11,http://www.mendeley.com/research/diversification-infrastructure-projects-emergent-unknown-nonsystematic-risks,Nilesh N.,Joshi,14037269100,60027881,16,7,16,110,18
f6cb5124-c138-3ea5-8231-29ed647165db,2-s2.0-84889651258,10.1080/01930826.2013.853487,Designing User-Focused Marketing Culture in Academic Libraries: A Conceptual Outline,journal,2013,"('Muhammad', 'Jaber Hossain')",Journal of Library Administration,122-146,53,25,http://www.mendeley.com/research/designing-userfocused-marketing-culture-academic-libraries-conceptual-outline,Muhammad,Jaber Hossain,23097471600,60014714,1,1,3,18,12
