scopus,doi,title,type,year,source,page,volume,reader_count,link,given-name,sur_name,citedby_count,h_index,doc_total,citedby_doc,coauthors_total
2-s2.0-84869446581,10.1061/(ASCE)CO.1943-7862.0000548,Construction Project Risk Management Based on the View of Asymmetric Information,journal,2012,Journal of Construction Engineering and Management,1303-1311,138,30,http://www.mendeley.com/research/construction-project-risk-management-based-view-asymmetric-information,Pengcheng,Xiang,22,3,10,36,16
2-s2.0-77957951836,10.1080/01449291003611326,Privacy in instant messaging: An impression management model,journal,2012,Behaviour and Information Technology,355-370,31,3,http://www.mendeley.com/research/privacy-instant-messaging-impression-management-model-6,Alfred,Kobsa,15,26,114,2308,150
2-s2.0-84936936316,10.1377/hlthaff.2015.0094,"Deficiencies in care at nursing homes and racial/ethnic disparities across homes fell, 2006-11",journal,2015,Health Affairs,1139-1146,34,27,http://www.mendeley.com/research/deficiencies-care-nursing-homes-racialethnic-disparities-across-homes-fell-200611,Yue,Li,1,20,92,1627,123
2-s2.0-21244491518,10.1007/s10257-005-0056-8,A model-driven framework for enterprise service management,journal,2005,Information Systems and e-Business Management,201-217,3,6,http://www.mendeley.com/research/modeldriven-framework-enterprise-service-management-2,Ying,Huang,4,9,27,411,57
2-s2.0-70449579437,10.1080/00207540701871036,Comparing the impact of different rescheduling strategies on the entropic-related complexity of manufacturing systems,journal,2009,International Journal of Production Research,4305-4325,47,34,http://www.mendeley.com/research/comparing-impact-different-rescheduling-strategies-entropicrelated-complexity-manufacturing-systems,Luisa,Huaccho Huatuco,25,8,21,142,24
2-s2.0-84901792094,10.1145/2611567,Big data and its technical challenges,journal,2014,Communications of the ACM,86-94,57,255,http://www.mendeley.com/research/big-data-technical-challenges-4,H. V.,Jagadish,236,51,260,8224,150
2-s2.0-84873447608,10.1080/00207543.2012.701778,Collaboration networks and collaboration tools: A match for SMEs?,journal,2013,International Journal of Production Research,2034-2048,51,68,http://www.mendeley.com/research/collaboration-networks-collaboration-tools-match-smes,Roula,Michaelides,21,6,24,129,39
2-s2.0-80051478158,10.1080/13669877.2011.553733,Diversification of infrastructure projects for emergent and unknown non-systematic risks,journal,2011,Journal of Risk Research,717-733,14,11,http://www.mendeley.com/research/diversification-infrastructure-projects-emergent-unknown-nonsystematic-risks,Nilesh N.,Joshi,16,7,16,110,18
2-s2.0-84889651258,10.1080/01930826.2013.853487,Designing User-Focused Marketing Culture in Academic Libraries: A Conceptual Outline,journal,2013,Journal of Library Administration,122-146,53,25,http://www.mendeley.com/research/designing-userfocused-marketing-culture-academic-libraries-conceptual-outline,Muhammad,Jaber Hossain,1,1,3,18,12
2-s2.0-36248955411,10.1080/00207540600818278,Application support to product variety management,journal,2008,International Journal of Production Research,817-836,46,48,http://www.mendeley.com/research/application-support-product-variety-management-2,C.,Forza,55,29,61,2435,28
2-s2.0-84957938741,10.3846/20294913.2013.876457,Uniform price auction of divisible goods based on multiple rounds linear bidding and its equilibrium analysis,journal,2015,Technological and Economic Development of Economy,96-117,21,2,http://www.mendeley.com/research/uniform-price-auction-divisible-goods-based-multiple-rounds-linear-bidding-equilibrium-analysis,Congjun,Rao,3,10,88,245,71
2-s2.0-84904559300,10.1080/00207543.2014.891060,Modelling and analysis of the bullwhip effect with customers baulking behaviours and production capacity constraint,journal,2014,International Journal of Production Research,4835-4852,52,27,http://www.mendeley.com/research/modelling-analysis-bullwhip-effect-customers-baulking-behaviours-production-capacity-constraint,Wen-Jin,Lin,6,2,2,12,3
2-s2.0-30544453990,10.1002/asi.20244,Word-oriented approximate string matching using occurrence heuristic tables: A heuristic for searching Arabic text,journal,2005,Journal of the American Society for Information Science and Technology,1504-1511,56,5,http://www.mendeley.com/research/wordoriented-approximate-string-matching-using-occurrence-heuristic-tables-heuristic-searching-arabi,Suleiman H.,Mustafa,1,2,12,37,5
2-s2.0-84896549511,10.1002/hrm.21549,Can Union Voice Make a Difference? The Effect of Union Citizenship Behavior on Employee Absence,journal,2014,Human Resource Management,211-228,53,26,http://www.mendeley.com/research/union-voice-make-difference-effect-union-citizenship-behavior-employee-absence,Stephen J.,Deery,5,16,48,1018,22
2-s2.0-84931571837,10.1111/poms.12313,Sourcing with deferred payment and inspection under supplier product adulteration risk,journal,2015,Production and Operations Management,934-946,24,15,http://www.mendeley.com/research/sourcing-deferred-payment-inspection-under-supplier-product-adulteration-risk,Huaxia,Rui,10,9,28,279,15
2-s2.0-84947862683,10.1080/00207543.2015.1055845,The point of purchase decision in a supply chain with value-added reselling,journal,2015,International Journal of Production Research,6689-6700,53,10,http://www.mendeley.com/research/point-purchase-decision-supply-chain-valueadded-reselling,Kingsley,Gnanendran,1,2,8,12,8
2-s2.0-84878479178,10.1007/s00355-012-0686-y,Bargaining and cooperation in strategic form games with suspended realizations of threats,journal,2013,Social Choice and Welfare,337-358,41,1,http://www.mendeley.com/research/bargaining-cooperation-strategic-form-games-suspended-realizations-threats,Zhigang,Cao,1,7,32,146,29
2-s2.0-33746907037,10.1007/s10729-006-9040-1,Methods to determine reimbursement rates for diagnosis related groups (DRG): A comparison of nine European countries,journal,2006,Health Care Management Science,215-223,9,76,http://www.mendeley.com/research/methods-determine-reimbursement-rates-diagnosis-related-groups-drg-comparison-nine-european-countrie,Jonas,Schreyögg,122,20,88,1023,92
2-s2.0-61349139979,10.1287/ijoc.1050.0170,An evolutionary metaheuristic for approximating preference-nondominated solutions,journal,2007,INFORMS Journal on Computing,291-301,19,14,http://www.mendeley.com/research/evolutionary-metaheuristic-approximating-preferencenondominated-solutions,Murat,Köksalan,18,22,82,1053,65
2-s2.0-77958089680,10.1007/s10107-010-0393-3,Risk-averse dynamic programming for Markov decision processes,conference_proceedings,2010,Mathematical Programming,235-261,125,58,http://www.mendeley.com/research/riskaverse-dynamic-programming-markov-decision-processes-12,Andrzej,Ruszczyński,115,34,111,2563,54
2-s2.0-84942371930,10.1007/s10479-013-1380-x,A trust model of cloud computing based on Quality of Service,journal,2015,Annals of Operations Research,281-292,233,57,http://www.mendeley.com/research/trust-model-cloud-computing-based-quality-service-2,Paul,Manuel,24,15,79,431,63
